example_id,brand,customer_message,expected_intent,expected_action,expected_response_guidance,difficulty,annotator_notes
GOLDEN_001,SpotifyCares,Spotify keeps pausing every 30 seconds when I lock my phone screen on iPhone 8 iOS 11. Super annoying please fix!!,Audio & Playback Issues,AUTO_HANDLE,"Recommend clean reinstall, clearing cache, and checking background app refresh settings.",easy,Classic playback stopping bug on mobile lock screen with specific device details.
GOLDEN_002,SpotifyCares,Songs keep skipping to the middle and cutting out completely on desktop Windows 10 app.,Audio & Playback Issues,AUTO_HANDLE,Advise disabling hardware acceleration in Spotify desktop settings and clearing local cache.,easy,Standard desktop audio buffering/skipping symptom.
GOLDEN_003,SpotifyCares,Why does my music crackle only through bluetooth in my car but works fine on headphones?,Audio & Playback Issues,AUTO_HANDLE,Ask for car audio system model and recommend unpairing/re-pairing bluetooth connection.,medium,Hardware-specific bluetooth bitrate/codec anomaly.
GOLDEN_004,SpotifyCares,Playback stopped. Error code 4: 'Unable to stream this track'. What does this mean?,Audio & Playback Issues,AUTO_HANDLE,Explain DNS / offline firewall network conflict and advise logging out and restarting router.,medium,Specific numeric error code with known troubleshooting steps.
GOLDEN_005,SpotifyCares,My music just cuts off randomly without any error message or notification.,Audio & Playback Issues,ESCALATE,Vague playback disruption lacking device or network context; requires clarification.,hard,Underspecified symptom with insufficient diagnostic detail to guarantee resolution.
GOLDEN_006,SpotifyCares,The web player says 'Protected content is not enabled' in Chrome after updating.,Audio & Playback Issues,AUTO_HANDLE,Guide customer to enable Widevine DRM under Chrome Content Settings.,easy,Known Chrome DRM toggle issue.
GOLDEN_007,SpotifyCares,Shuffle is completely broken. It plays the same 5 songs out of my 400 song playlist every single day.,Audio & Playback Issues,AUTO_HANDLE,"Explain shuffle algorithm caching, recommend clearing cache and toggling off automix.",medium,Common algorithmic complaint with standard cache reset guidance.
GOLDEN_008,SpotifyCares,"Volume jumps from 10% to 100% abruptly when switching between albums, almost blew my ears out!!",Audio & Playback Issues,ESCALATE,Potential hearing safety hazard; acknowledge distress and escalate to engineering team.,hard,Safety-adjacent audio volume glitch requiring engineering logging.
GOLDEN_009,SpotifyCares,I was charged twice this month for Spotify Family plan: $14.99 on Oct 1 and again on Oct 3. Please refund the extra charge!,Subscription & Billing,ESCALATE,Direct user to secure DM to review duplicate billing transactions; agents cannot process refunds publicly.,medium,Double billing claim requiring account lookup and billing verification.
GOLDEN_010,SpotifyCares,How do I cancel my student discount subscription before next month's renewal?,Subscription & Billing,AUTO_HANDLE,Provide step-by-step guidance to visit spotify.com/account > Subscription > Change or Cancel.,easy,Standard self-service subscription cancellation question.
GOLDEN_011,SpotifyCares,My credit card expired and payment failed. How do I update my payment method without losing my playlists?,Subscription & Billing,AUTO_HANDLE,"Reassure customer playlists are permanently saved, provide link to spotify.com/account to update payment.",easy,Routine payment update query with emotional reassurance.
GOLDEN_012,SpotifyCares,I canceled my Premium two weeks ago but you just took $9.99 from my checking account yesterday. This is theft.,Subscription & Billing,ESCALATE,Hostile customer alleging unauthorized debit after cancellation; escalate to billing specialist.,hard,High-risk billing dispute with theft accusation.
GOLDEN_013,SpotifyCares,Can I pay for Spotify Premium using PayPal or Amazon Pay?,Subscription & Billing,AUTO_HANDLE,Confirm PayPal is supported in eligible regions and explain accepted payment methods.,easy,Informational payment methods inquiry.
GOLDEN_014,SpotifyCares,"I signed up through Apple App Store and want to switch to direct billing to get the cheaper price, how do I do that?",Subscription & Billing,AUTO_HANDLE,Explain that Apple-billed subscriptions must first be canceled via Apple Subscriptions before resubscribing directly.,medium,Third-party billing transition requiring multi-step process.
GOLDEN_015,SpotifyCares,Why did the subscription price in the UK go up without notifying me in advance?,Subscription & Billing,AUTO_HANDLE,Clarify price change notification policy and direct to official pricing announcement FAQ.,medium,Price increase dispute/clarification.
